;asertividad;autoconciencia emocional;autoestima;desarrollar y estimular a los demás;empatía;autocontrol emocional;influencia;liderazgo;optimismo;relación social;colaboración y cooperación;comprensión organizativa;conciencia crítica;desarrollo de las relaciones;tolerancia a la frustración;comunicacion asertiva;manejo de conflictos;motivación de logro;percepción y comprensión emocional;violencia
crecimient;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
credul;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
cretin;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.000
crim;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
criminal;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
crisis;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.155;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
critic;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.141;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.000;0.000
cruel;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
crueld;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
cubr;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.000
cuchill;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
cuestion;0.000;0.150;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.170;0.163;0.000;0.000;0.000;0.152;0.000;0.157;0.000
cuid;0.115;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
cuidad;0.115;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
cul;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.157;0.000
culp;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
culpabl;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
cumpl;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.213;0.000;0.000;0.141;0.170;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
curios;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.157;0.000
daÃ±;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
daÃ±os y perjuici;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
de buen ton;0.000;0.150;0.166;0.195;0.000;0.000;0.000;0.213;0.000;0.000;0.000;0.170;0.000;0.177;0.000;0.131;0.152;0.000;0.000;0.000
de mierd;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.262
debil;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.137;0.000;0.000;0.000;0.000;0.000
debilit;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.137;0.000;0.000;0.000;0.000;0.000
decepcion;0.115;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.157;0.000
decis;0.115;0.150;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.211;0.157;0.000
dedic;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
defect;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.000;0.000
defensor;0.115;0.000;0.166;0.195;0.195;0.000;0.179;0.213;0.155;0.000;0.141;0.000;0.000;0.000;0.137;0.131;0.152;0.211;0.000;0.000
deficit;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.000;0.000
defraud;0.115;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.157;0.000
degrad;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
deleit;0.000;0.150;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
delic;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
delincuent;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
delit;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
demanda judicial;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.131;0.152;0.211;0.000;0.000
demand;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.131;0.152;0.211;0.000;0.000
demostr;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.170;0.000;0.000;0.000;0.131;0.000;0.211;0.000;0.000
denunci;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.131;0.152;0.211;0.000;0.000
depriment;0.000;0.150;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.157;0.000
deprim;0.000;0.150;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.157;0.000
derech;0.000;0.000;0.000;0.195;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
derrot;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
desacredit;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.137;0.000;0.000;0.000;0.157;0.000
desafi;0.115;0.000;0.166;0.000;0.000;0.000;0.000;0.213;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.211;0.000;0.000
desagrad;0.115;0.150;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.177;0.000;0.000;0.000;0.000;0.000;0.000
desair;0.000;0.150;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desalin;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desaloj;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
desanim;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
desaparec;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
desasosieg;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desastr;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desatiend;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.262
descalific;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.211;0.000;0.000
descarril;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.262
descart;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
desconcert;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
desconect;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
desconfi;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
desconsider;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desconsol;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
desconsuel;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
descontent;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
descorazon;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
descuent;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
descu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.000
descuid;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.157;0.000
desdeÃ±;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dese;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.000;0.000
deseabl;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.155;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
des;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.211;0.157;0.000
deseand;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
desemple;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.000
desenfoc;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
deseos;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
desesper;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
desestim;0.115;0.150;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.211;0.000;0.000
desf;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desgraci;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
deshech;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
deshonest;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
deshumaniz;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.000
desigual;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.137;0.000;0.000;0.000;0.000;0.000
desilusion;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.155;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.000
desmoraliz;0.000;0.150;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desmotiv;0.000;0.150;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
desorient;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.262
despect;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
desped;0.000;0.000;0.000;0.000;0.000;0.149;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
despej;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
desperdici;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.000
despist;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
despotric;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.262
despreci;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.262
despreocup;0.115;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
destell;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.000;0.000
destroz;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.000;0.000;0.157;0.000
destruccion;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.262
destruct;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.000
destru;0.000;0.150;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
desventaj;0.115;0.000;0.000;0.195;0.000;0.149;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.157;0.000
desventur;0.115;0.000;0.166;0.000;0.000;0.000;0.000;0.213;0.000;0.187;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.000;0.000
detencion;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.170;0.000;0.000;0.137;0.000;0.152;0.000;0.157;0.000
deten;0.000;0.150;0.000;0.195;0.000;0.149;0.000;0.213;0.000;0.000;0.141;0.170;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.000
determin;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.213;0.155;0.000;0.000;0.170;0.000;0.000;0.000;0.131;0.000;0.211;0.000;0.000
detest;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.000;0.000;0.262
deud;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.131;0.000;0.000;0.000;0.000
devast;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.157;0.000
devot;0.115;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.170;0.000;0.000;0.000;0.131;0.000;0.211;0.000;0.000
diamant;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.000
difamatori;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
dificil;0.000;0.000;0.000;0.195;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.157;0.000
difir;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.170;0.000;0.177;0.000;0.131;0.000;0.000;0.000;0.000
dign;0.115;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.170;0.163;0.000;0.000;0.000;0.152;0.211;0.000;0.000
dilem;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.000
dios;0.000;0.150;0.000;0.000;0.000;0.149;0.179;0.000;0.155;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.157;0.000
direccion correct;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.213;0.000;0.187;0.141;0.170;0.000;0.177;0.000;0.131;0.152;0.000;0.000;0.000
discordi;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.211;0.000;0.000
disculp;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.141;0.000;0.163;0.177;0.000;0.131;0.000;0.000;0.157;0.000
disfrac;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
disfraz;0.115;0.000;0.000;0.195;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
disfrut;0.000;0.000;0.166;0.195;0.000;0.000;0.000;0.000;0.155;0.187;0.000;0.170;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
disfrutand;0.000;0.000;0.166;0.195;0.000;0.000;0.000;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.000
disfuncion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.000
disgust;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.137;0.000;0.000;0.000;0.000;0.262
disp;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.157;0.262
dispar;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
disparat;0.115;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.177;0.000;0.131;0.000;0.000;0.000;0.000
disput;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
disrupt;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.000;0.170;0.163;0.000;0.000;0.131;0.152;0.211;0.157;0.000
distorsion;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.157;0.262
distraccion;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
distra;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
distr;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
distraid;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
disturbi;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
diversion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
divert;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
divertidisim;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dolor;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
duch;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dud;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dudos;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
duel;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dulc;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
dur;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
eficaz;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
egoism;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
egoist;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
elacion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
eleg;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
elogi;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
embaraz;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
embauc;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
embellec;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
emocion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
empalag;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
empat;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
empeor;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
empeoramient;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
empequeÃ±ec;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
